verse	iliad	note
115	2.8–9	
116	—	
117	2.10–11	
118	—	
119	2.11–13	
120	2.16–17	
121	2.17–19	
122	2.19	
123	2.20–22	
124	2.23, 2.26	
125	2.26–27	
126	—	
127	2.28	
128	2.28–29	
129	2.35	
130	2.48–49	
131	2.50–53	
132	2.53–56	
133	2.76–83	
134	2.83	
135	—	
136	2.212, 2.216	
137	2.213–216	
138	2.225–242	
139	2.236, 2.244	
140	2.245–246, 2.265–266	
141	—	
142	—	
143	—	
144	2.278–284	Nestor: in Homer Odysseus tells the omen (2.284–332)
145	2.280	
146	2.284, 2.299–302	
147	2.303–308	
148	2.311–317	
149	2.315–317	
150	2.317	
151	—	
152	2.322, 2.328–329	
153	2.329–330	
154	2.333–335	
155	2.398, 2.441–443	
156	2.381–384	
157	—	
158	—	
159	2.442–444	
160	2.465	
161	2.484	
162	2.487	
163	2.485	
164	2.493	
165	—	
166	—	
167	2.494	
168	2.495	
169	2.509–510	
170	—	
171	2.569	
172	2.579–580	
173	2.576	
174	2.586–587	
175	2.609–610	
176	2.601	
177	—	
178	2.602	
179	2.517	
180	—	gloria Myrmidonum: Homer has the Phocians
181	2.524	
182	2.740, 2.745, 2.747	
183	2.747	
184	2.565, 2.564	
185	2.567	
186	2.568	
187	2.512	
188	2.516	
189	2.527, 2.534	
190	2.736–737	
191	2.685	
192	2.685	
193	2.678	
194	2.680	
195	2.671	Teucer: Homer has Nireus
196	2.653–654	
197	2.713–714	
198	2.557	
199	2.756	
200	2.540	
201	2.627	
202	2.638	
203	2.545, 2.630, 2.644, 2.759	
204	2.631, 2.637	
205	2.557	
206	2.748	
207	2.748	
208	2.645, 2.650–651	
209	2.652	
210	2.552, 2.556	
211	2.556, 2.685	
212	2.620–621	
213	2.622–623	
214	2.618–619	
215	2.698, 2.704, 2.710	
216	2.710, 2.534	
217	2.718–719	
218	2.731–732	
219	2.733	
220	—	
221	—	
222	—	
223	2.786–787	
224	2.796–801	
225	2.807–808	
226	2.816–818	
227	2.809–810	
228	—	
229	—	
230	—	
231	—	
232	—	
233	—	
234	—	
235	—	
236	2.819–821	
237	2.822–823	
238	2.826	
239	2.827, 2.876	
240	2.830, 2.837, 2.842	
241	2.870–871	
242	2.856	
243	2.846, 2.848	
244	2.864	
245	2.840, 2.844	
246	2.858	
247	2.862	
248	2.862, 2.876	
249	2.876	Coroebus is not in Homer's catalogue
250	—	
251	—	
252	3.15	
253	3.16	
254	3.30–31	
255	3.32–35	
256	3.36–38	
257	3.38	
258	3.39–40, 3.50	
259	3.46–49	
260	3.52–53	
261	—	
262	—	
263	3.54	Vollmer gives a dash
264	3.55	Vollmer gives a dash
265	—	
266	—	
267	3.52, 3.69	Hector proposes the duel; in Homer Paris (3.67–75)
268	3.68	
269	3.68, 3.73	
270	3.70	
271	3.58	
272	3.59	
273	—	
274	3.64–66	
275	3.67–70	
276	3.71–75	
277	3.76, 3.111	
278	3.116–117, 3.259–261	
279	3.271–301	
280	3.114–115	
281	3.340–341	
282	3.335–338	
283	3.339–340	
284	—	
285	—	
286	—	
287	3.344	
288	—	
289	—	
290	3.346–349	Homer: the spear strikes Menelaus' shield (3.347)
291	3.349, 3.355–356	
292	3.357–359	Homer: the spear pierces the corslet and Paris swerves (3.357–360)
293	3.358	
294	—	
295	—	
296	—	
297	—	
298	—	
299	—	
300	—	
301	—	
302	3.361	
303	3.361–362	
304	3.362	
305	3.363	
306	3.364–368	
307	3.369	
308	3.370	
309	3.374, 3.380–381	
310	3.371–375	
311	3.373	
312	3.376	
313	3.377–378	
314	3.379–380	
315	3.380	
316	3.381–382	
317	3.383–384	
318	3.424–426	
319	3.427	
320	3.428–429	
321	3.429	
322	—	
323	—	
324	—	
325	—	
326	—	
327	3.432–433	
328	3.430–431	
329	3.431, 3.433–434	
330	3.434–436	
331	—	
332	3.437–439	
333	3.439	
334	3.440	
335	3.440	
336	3.441, 3.447	
337	3.447–448	
338	—	
339	3.449	
340	3.449–450	
341	3.455	
342	3.456	
343	3.457–459	
344	4.1–4	
345	4.1–4	
346	4.104–105, 4.124–126	
347	4.127, 4.134	
348	4.135–136	
349	4.138, 4.150	
350	4.210–212	
351	4.213–219	Podalirius: Homer has Machaon
352	—	
353	4.223–225	
354	4.221–222	
355	4.446–449	
356	4.450–451	
357	4.450–451	
358	4.456	
359	—	
360	4.457–458	
361	4.458–461	
362	4.473	
363	4.473–474	
364	4.480–481	
365	—	
366	4.482, 4.489–490	
367	4.490	
368	4.489–490	
369	4.491–492	
370	4.493	
371	—	
372	4.494	Atrides: Homer has Odysseus
373	4.495–499	
374	4.501–502	
375	4.503–504	
376	4.504	
377	4.517–519	
378	4.520, 4.524–526	
379	—	
380	4.527	
381	4.527–528	
382	4.531?	
383	—	
384	4.451	
385	—	
386	4.543–544	
387	—	
388	—	
389	5.1	
390	—	
391	5.8	
392	5.8	
393	—	
394	5.1–2, 5.4–7	
395	5.1–3	
396	5.136–137	leaena: Homer has a lion among sheep (5.136–142)
397	5.137–140	
398	5.141–142	
399	5.143	
400	—	
401	5.93–94	
402	—	
403	5.9	
404	5.10–12	
405	5.11, 5.15	
406	5.15–17	Homer: the spear passes over the shoulder (5.16–17)
407	5.17	
408	5.18	
409	5.19	
410	—	
411	5.19	
412	—	
413	5.20	
414	—	
415	5.20–21	
416	—	
417	—	
418	—	
419	—	
420	—	
421	5.21	
422	5.21	
423	5.22–24	Homer: Hephaestus saves him (5.23)
424	5.38–39	
425	—	
426	—	
427	5.39	
428	5.40–41	
429	5.43	
430	5.43–44	
431	5.49	Idomeneus: in Homer Menelaus kills Scamandrius (5.49–50)
432	5.59, 5.65–66	
433	5.69	
434	5.76, 5.79–80	
435	—	
436	5.95–96	
437	5.95–96	
438	5.96	
439	5.97	
440	5.98–99	
441	5.134–135	
442	5.136	
443	5.144	
444	5.145–147	
445	5.148	
446	5.152	
447	5.159–160	
448	5.163–164	
449	5.290	
450	5.294–296	
451	5.291	
452	5.292–293	Homer: the spear cuts the tongue and comes out under the chin (5.292–293)
453	5.293	
454	5.297–302	
455	—	
456	—	
457	—	
458	—	
459	—	
460	5.302	
461	5.303–304	
462	5.302–305	
463	5.309–310	
464	5.311–313	
465	5.314–318	caligine: Homer has her robe (5.315); the cloud is Apollo's (5.345)
466	5.330–333	
467	5.330, 5.334–335	
468	—	
469	5.336–339	
470	5.343, 5.352–367	
471	5.370–374	
472	5.344–345	
473	5.512–513	
474	—	
475	—	
476	—	
477	—	
478	—	
479	—	
480	—	
481	—	
482	—	
483	5.514	
484	—	
485	—	
486	5.494	
487	5.495–497	
488	—	
489	—	
490	—	
491	—	
492	—	
493	—	
494	—	
495	—	
496	5.528	
497	5.529–532	
498	—	
499	—	
500	5.161	
501	5.161	
502	—	
503	5.161–162	
504	5.533	
505	5.533–534	
506	—	
507	—	
508	—	
509	5.561	
510	5.561–563	
511	—	
512	—	
513	8.119–121	Homer: Diomedes' spear kills Eniopeus, Hector's charioteer (8.118–121)
514	8.122	Vollmer gives a dash
515	—	
516	—	
517	5.541–542	
518	5.542, 5.561	
519	5.576–579	
520	5.580	
521	5.629	
522	5.630	
523	5.628	
524	—	cf. 5.638–642
525	5.657–659	
526	5.663–664	
527	5.669–670	
528	5.677–678	
529	5.680	
530	5.793	
531	—	
532	5.846, 5.850	Homer: Diomedes wounds Ares, guided by Athena (5.855–859)
533	5.851–854	
534	5.855–858	
535	5.859–867	
536	5.868–887	
537	5.888–898	
538	6.5–8	
539	6.37–38	
540	—	Homer: Agamemnon kills Adrastus (6.63–65)
541	—	
542	6.73–74	
543	6.74–76	
544	—	
545	6.96–97?	
546	6.86–87, 6.237	
547	6.240, 6.269–278	
548	6.286–287, 6.297	
549	6.297–301	
550	6.308–309	Homer: a robe is laid on Athena's knees and twelve heifers are promised (6.302–309)
551	6.293–305	Hecube: in Homer the priestess Theano prays (6.302–305)
552	6.305–310	
553	6.119–120	
554	6.121–123	
555	6.123	
556	6.122	
557	6.123–126	
558	6.126–127	
559	6.215	
560	—	cf. 5.336, 5.855–858
561	6.226	
562	6.232–233	
563	6.230, 6.235–236	
564	6.394–395	
565	6.395, 6.399–400	
566	6.400–403	
567	6.466	
568	6.467–468	
569	6.469–470	
570	6.472–473	
571	6.474	
572	6.475–476	
573	6.476–477	
574	6.477–478	
575	7.1	
576	7.2	
577	7.55	
578	7.67, 7.73–75	
579	7.161, 7.168	
580	7.165	
581	7.166, 7.162	
582	7.164	
583	7.167–168	
584	7.163	
585	7.229–230	
586	9.186–189	amorem: Homer has him sing the glories of men (9.189)
587	7.176	
588	7.181–183	
589	7.244–254	
590	—	
591	—	
592	—	
593	—	
594	—	
595	7.256–257	
596	—	
597	—	
598	—	
599	—	
600	—	
601	—	
602	7.260	
603	7.260	
604	7.261–262	ensem: Homer has the spear (7.260–262)
605	7.254	
606	7.254	
607	7.261	
608	7.262	
609	7.263	
610	7.263–264	
611	7.264–266	
612	7.266–267	
613	7.268–272	
614	7.272	
615	7.272–273	
616	7.273	
617	7.282, 7.293	
618	7.274–276	
619	7.277–279	
620	7.287	
621	—	
622	—	
623	—	
624	—	
625	—	
626	—	
627	—	
628	7.303–304	
629	7.305	
630	7.305	
631	7.306–307	
632	—	
633	7.313–320	
634	—	cf. 7.482
635	—	
636	7.345–346	
637	—	Hector: in Homer Antenor proposes it (7.347–353)
638	7.350–351	
639	7.363–364	Homer: Paris refuses Helen and offers the goods (7.362–364)
640	7.379	
641	7.381–386	
642	7.400–404	
643	—	
644	7.413	
645	—	
646	7.430	
647	7.431, 7.434	
648	7.432	
649	7.436–441	
650	8.1	
651	8.2–4	
652	8.5–12	
653	8.41–46	
654	8.47–51	
655	8.52	
656	8.69	
657	8.70–72	
658	8.72–74	
659	8.215	
660	8.216	
661	—	
662	8.213–215	
663	8.218–227	
664	8.228–229	
665	8.253–255	
666	8.255	
667	8.256–257	
668	8.257	
669	8.258–260	ense: Homer has the spear (8.258)
670	8.267–268	
671	8.266, 8.269–270	
672	8.302–308	
673	8.312–313	
674	8.314–315, 8.320–322	
675	8.327–329	
676	8.330–334	
677	8.335–337	
678	8.337–342	
679	8.343–344	
680	8.345	
681	—	
682	8.509–511	
683	8.554–563	
684	8.543–544	
685	8.545–547	
686	9.1–3	
687	9.9–12	
688	9.93–94	
689	9.165–172	
690	—	
691	9.307–310, 9.378–379	
692	9.378–380	
693	9.132–134	
694	9.669–692	
695	9.712–713	
696	10.251–252	
697	10.252–253	
698	10.219–222	
699	10.242–247	
700	10.204–207	
701	10.208–211	
702	10.208–211	
703	10.272–275, 10.297–298	
704	10.314	
705	10.318–319	
706	10.319	
707	10.339–341	
708	10.349–350	
709	10.350	
710	10.314, 10.350–351	
711	10.346–348	
712	10.351–354	
713	10.354–359	
714	10.374–377	
715	10.376–378	
716	10.378–381	
717	—	
718	10.384–389	
719	10.391–393	
720	10.394–399	
721	—	
722	—	
723	—	
724	—	
725	10.405–411	
726	10.412–414	
727	—	
728	10.454–456	
729	10.469–470	
730	10.471, 10.494–497	
731	10.483–488	
732	—	
733	10.498–501	
734	10.436–437	
735	10.437	
736	10.513–514, 10.526–531	
737	10.532	
738	10.540–542	
739	10.543–545	
740	10.575–579	
741	11.1	
742	—	
743	11.15, 11.55–56	
744	11.67–71	
745	11.70–71	
746	—	
747	11.91–92	
748	11.101, 11.109	
749	11.122–123, 11.143–144	
750	11.145–147, 11.221, 11.240	
751	11.248–253	
752	11.254–256	
753	11.256–261	
754	11.284–285	
755	—	
756	11.369–370, 11.376–378	Homer: Paris wounds Diomedes in the foot (11.376–378)
757	11.581–584	
758	—	
759	—	
760	12.445, 12.453	
761	12.457–462	
762	12.467–470	
763	—	
764	—	
765	—	
766	12.258–264?	
767	12.287–289	
768	12.469–470	
769	12.470–471	
770	12.471	
771	—	
772	13.43–45	
773	—	
774	13.384–393	
775	13.183–187	
776	13.427–434	
777	13.434	Rhytieus = Idomeneus, who kills Alcathous in Homer (13.434)
778	13.516–520	
779	14.388–391	
780	14.409–413	
781	14.418	
782	14.421–432, 15.10–11	
783	14.433–436	
784	14.440–441	
785	—	
786	14.449–451	
787	14.463–465	
788	14.476–477	
789	14.487–489	
790	15.306–307	
791	—	
792	15.1–2	
793	15.2–3	
794	15.279–280	
795	15.343–345	
796	15.405–409	
797	15.415–416	
798	15.716–718	
799	15.416–418	
800	15.674–677, 15.729–731	
801	15.731, 15.742–746	
802	—	
803	15.743–744	
804	—	cf. 16.109–111
805	16.2–3	
806	16.130–131	
807	16.278–283	
808	16.280–283	
809	16.294–296	
810	—	
811	16.477–482	
812	16.684–687	
813	—	
814	16.731–732	
815	16.727–732	
816	16.732	
817	—	
818	—	
819	—	
820	—	
821	—	
822	—	
823	—	
824	—	
825	—	
826	—	
827	—	
828	—	
829	—	
830	16.787–789	
831	16.793–800	
832	16.801–804	
833	16.818–819	
834	16.820–821	Homer: Euphorbus wounds him first (16.806–815)
835	17.125	
836	17.132	
837	17.132–137	
838	—	
839	18.2, 18.16	
840	18.231–233	Homer: Antilochus brings only the news (18.2, 18.16–21); the Achaeans bring the body (18.231–233)
841	18.22	
842	18.22	
843	—	
844	18.22	
845	18.23–24, 18.27	
846	18.24–25	
847	18.316–317	
848	18.318, 18.323	
849	—	
850	—	cf. 18.334–335
851	—	
852	—	
853	—	
854	—	
855	—	Homer: Thetis comes to him and offers the arms (18.65–69, 18.130–137)
856	18.146–148, 18.369	
857	18.468–470	
858	18.474–477	
859	19.3	
860	19.12–13	
861	19.15–18	Vollmer gives a dash
862	18.483–484	
863	18.485	
864	18.607–608	
865	18.485–489	
866	—	
867	—	
868	—	
869	18.484	
870	18.484	
871	—	
872	—	
873	—	
874	—	
875	—	
876	18.490	
877	18.497–500	
878	18.503–506	
879	18.506–508	
880	18.593–594	
881	18.594, 18.599–602	
882	18.569–570	
883	18.570–571	
884	—	
885	18.541–542	
886	18.550–551	
887	18.561–562	
888	18.587–589	
889	—	cf. 18.516–517
890	—	
891	—	
892	19.364–369	
893	—	
894	19.349–354	Iuno: in Homer Zeus sends Athena (19.349–351)
895	20.79–85	
896	20.158–160	
897	—	
898	20.161–164	
899	20.291–293, 20.318–325	
900	20.302–308	Vollmer gives a dash
901	—	
902	—	
903	20.381–383	
904	20.490–499	
905	—	
906	21.1–8	
907	—	
908	21.15–21	
909	—	
910	21.21	
911	21.233–235	Venus et Apollo: in Homer the river rises on its own (21.136–138, 21.211–214)
912	21.234–235	
913	21.235–240	
914	21.240	
915	21.240–242	Vollmer's "24?"; 21.234–242 is meant
916	21.241–242	
917	21.268–271	
918	21.269–271	
919	21.269	
920	21.328	
921	21.330–333	
922	21.385–391	
923	21.520–521	
924	21.520–525	
925	—	
926	—	
927	—	
928	21.528–529	
929	21.540–543	
930	21.606–611	
931	22.35–36	
932	22.36	
933	22.37–38	
934	—	
935	22.131–135	
936	—	cf. 22.226–231
937	22.136–137	
938	22.138	
939	22.199	
940	22.199–200	
941	22.200–201	
942	—	
943	—	
944	—	cf. 22.25–35
945	—	
946	—	
947	22.226–227	
948	22.228–231	
949	22.247	
950	—	cf. 22.296–303
951	22.248, 22.273	
952	—	
953	—	
954	—	
955	—	
956	—	
957	22.273	
958	22.273	
959	22.274–276	
960	22.289	
961	22.289–290	
962	22.290–291	
963	22.291	dissiluit mucro: Homer, the spear rebounds from the shield (22.291)
964	—	
965	—	
966	—	
967	—	
968	22.294–295	
969	22.296–297	
970	22.296–299	Vollmer gives a dash
971	—	
972	—	
973	—	
974	—	
975	—	
976	22.317–320	
977	22.324–327	fauces: Homer, the throat by the collarbone (22.324–327)
978	—	
979	22.337	
980	22.338–339	
981	22.340–341	
982	22.341–343	
983	—	
984	—	
985	—	
986	—	cf. 24.486–487
987	—	
988	22.344	
989	22.345	
990	22.346–347	
991	22.347	
992	22.354	
993	22.354	
994	—	
995	—	
996	22.361–363	
997	22.395	
998	22.396–398	
999	—	cf. 24.16
1000	—	
1001	22.399–404	
1002	22.405–411	
1003	22.410–411	
1004	23.108–110	
1005	23.161–165	
1006	24.14–18	
1007	23.257–261	
1008	23.536–538	Homer: Diomedes wins the chariot race, Meriones is fourth (23.499–531)
1009	23.700–701	
1010	23.725–736	Homer: the wrestling is a draw (23.736)
1011	23.664–665	
1012	23.826, 23.844–849	
1013	23.882–883	
1014	24.1–3	
1015	22.405–409	
1016	22.408–411	
1017	22.405–406, 22.430–431	
1018	22.466–470	
1019	—	
1020	—	
1021	—	
1022	24.189–190	
1023	—	
1024	—	
1025	24.483–484	
1026	24.483	
1027	24.477–478	
1028	24.485–486	
1029	—	
1030	—	
1031	24.503	
1032	24.503–504	
1033	24.502	
1034	—	
1035	—	
1036	—	
1037	—	
1038	—	
1039	—	
1040	—	
1041	—	
1042	—	
1043	24.515–516	
1044	24.515	
1045	—	
1046	24.689–691	
1047	24.777–783	
1048	24.784–786	bis sex corpora Graium: cf. 23.175–176 (Patroclus' pyre)
1049	—	
1050	—	
1051	24.787	
1052	—	
1053	—	
1054	—	
1055	—	
1056	—	
1057	—	
1058	—	
1059	—	
1060	—	
1061	—	
1062	—	
1063	—	
1064	—	
1065	—	
1066	—	
1067	—	
1068	—	
1069	—	
1070	—	
